Name,TotalDecRate,ApproDate,TotalReqRate
div5801285,0.0283,19550601,0.0283
div5801288,0.035375,19910831,0.035375
div5801312,0.0283,19951115,0.0283
div5801316,0.0283,19200601,0.0283
div5801329,0.00283,19840727,0.00283
div5801331,0.0009339,19850121,0.0009339
div5801333,0.007075,19500630,0.007075
div5801337,0.0283,19850128,0.0283
div5801343,0.0009339,19870304,0.0009339
div5801346,0.0010471,19600601,0.0010471
div5801361,0.0009339,19820801,0.0009339
div5801364,0.01415,19650815,0.01415
div5801368,0.0006226,19760610,0.0006226
div5801369,0.0006226,19770820,0.0006226
div5801380,0.0009339,19000701,0.0009339
div5801384,0.0003113,19831015,0.0003113
div5801385,0.0003113,19831015,0.0003113
div5801386,0.0003113,19831015,0.0003113
div5801388,0.0009339,19830930,0.0009339
div5801389,0.0283,19850615,0.0283
div5801394,0.0037639,19850515,0.0037639
div5801397,0.0006226,19830801,0.0006226
div5801399,0.01415,19860624,0.01415
div5801403,0.1132,19500610,0.1132
div5801405,0.134425,19470930,0.134425
div5801406,0.11037,19130930,0.11037
div5801407,0.080655,19090911,0.080655
div5801408,0.07075,19090911,0.07075
div5801409,0.032545,18930531,0.032545
div5801411,0.01415,19511101,0.01415
div5801413,0.000283,19451231,0.000283
div5801414,0.000283,19451231,0.000283
div5801415,0.000283,19451231,0.000283
div5801416,0.000283,19451231,0.000283
div5801419,0.0037922,19530525,0.0037922
div5801424,0.0001981,19240501,0.0001981
div5801425,0.0003396,19240501,0.0003396
div5801428,0.2264,18900515,0.2264
div5801432,0.0283,19520601,0.0283
div5801435,0.151405,19090911,0.151405
div5801438,0.0566,19160701,0.0566
div5801439,0.001415,19120501,0.001415
div5801440,0.007075,19120501,0.007075
div5801445,0.01415,19400601,0.01415
div5801446,0.00566,19400601,0.00566
div5801447,0.00566,19550601,0.00566
div5801448,0.01415,19590601,0.01415
div5801450,0.0,19860624,0.0
div5801451,0.0,19860624,0.0
div5801452,0.007075,19770715,0.007075
div5801459,0.0009339,19810601,0.0009339
div5801460,0.0009339,19810601,0.0009339
div5801476,0.00849,19370701,0.00849
div5801477,0.0283,19370701,0.0283
div5801478,0.01415,19370701,0.01415
div5801481,0.0858339,19820715,0.0858339
div5801482,0.0018678,19850301,0.0018678
div5801484,0.001132,19860901,0.001132
div5801505,0.0009339,19840930,0.0009339
div5801506,0.0009339,19840930,0.0009339
div5801513,0.00566,19540601,0.00566
div5801524,0.0009339,19980602,0.0009339
div5801526,0.0009339,19880803,0.0009339
div5801527,0.0009339,19880803,0.0009339
div5801528,0.000566,19441231,0.000566
div5801529,0.007075,19880510,0.007075
div5801530,0.0004811,19871120,0.0004811
div5801531,0.0004811,19871120,0.0004811
div5801532,0.0004528,19871120,0.0004528
div5801541,0.1132,19400515,0.1132
div5801547,0.01415,19120501,0.01415
div5801553,0.0009339,19890412,0.0009339
div5801555,0.001698,19730912,0.001698
div5801562,0.0566,19600501,0.0566
div5801563,0.000566,19400601,0.000566
div5801569,0.0,19140601,0.0
div5801577,0.0849,19890531,0.0849
div5801579,0.01415,19840801,0.01415
div5801581,0.0001698,19890915,0.0001698
div5801582,0.0849,19600501,0.0849
div5801591,0.0,18890809,0.0
div5801595,0.0566,19810601,0.0566
div5801597,0.0003113,19600615,0.0003113
div5801598,0.1415,19810501,0.1415
div5801601,0.0009339,19501231,0.0009339
div5801616,0.007075,19880719,0.007075
div5801621,0.0566,19890815,0.0566
div5801629,0.0,19500601,0.0
div5801630,0.0,19500601,0.0
div5801635,0.0283,19850715,0.0283
div5801639,0.0566,19440601,0.0566
div5801643,0.0566,19550601,0.0566
div5801649,0.0849,19500601,0.0849
div5801653,0.0009339,19890801,0.0009339
div5801655,0.01132,19900701,0.01132
div5801656,0.0283,19640601,0.0283
div5801664,0.0566,19440601,0.0566
div5801669,0.0009339,19820901,0.0009339
div5801670,0.0009339,19861101,0.0009339
div5801672,0.0006226,19800615,0.0006226
div5801682,0.00283,19910407,0.00283
div5801683,0.0012452,19880708,0.0012452
div5801685,0.0283,19890901,0.0283
div5801688,0.01415,18970601,0.01415
div5801690,0.0283,19911018,0.0283
div5801693,0.1132,18880918,0.1132
div5801694,0.0,19020502,0.0
div5801695,0.00566,19890430,0.00566
div5801702,0.0292339,19900930,0.0292339
div5801703,0.04811,18980801,0.04811
div5801710,0.0,18850602,0.0
div5801712,0.0283,19500601,0.0283
div5801724,0.00448555,19120612,0.00448555
div5801743,0.0009339,19801001,0.0009339
div5801746,0.01415,19930730,0.01415
div5801749,0.009339,19930914,0.009339
div5801766,0.00283,19450802,0.00283
div5801767,0.00283,19450802,0.00283
div5801773,0.0,18900515,0.0
div5801776,0.01415,19860624,0.01415
div5801777,0.01415,19860624,0.01415
div5801778,0.0283,19500601,0.0283
div5801781,0.0009339,19940601,0.0009339
div5801782,0.0188761,19941216,0.0188761
div5801783,0.0,18920515,0.0
div5801784,0.0,18890410,0.0
div5801786,0.0849,19930901,0.0849
div5801787,0.004245,19920601,0.004245
div5801795,0.0283,19800501,0.0283
div5801797,0.0566,18880501,0.0566
div5801798,0.0849,18880501,0.0849
div5801799,0.2547,18880501,0.2547
div5801800,0.0009339,19801106,0.0009339
div5801801,0.00566,19801106,0.00566
div5801802,0.0009339,19801106,0.0009339
div5801805,0.0009339,19800801,0.0009339
div5801820,0.0065939,19940708,0.0065939
div5801827,0.001415,20030731,0.001415
div5801832,0.00566,19050705,0.00566
div5801834,0.0009339,19911209,0.0009339
div5801837,0.1132,19400515,0.1132
div5801838,0.1132,19400515,0.1132
div5801839,0.0,19991018,0.0
div5801868,0.0,18920620,0.0
div5801869,0.0,19941230,0.0
div5801878,0.004811,19720601,0.004811
div5801884,0.0012735,19960715,0.0012735
