Name,SubRegion,UseRegion,BaseVolume,Region,MinRelease,MaxRelease,MinVolume,MaxVolume,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Dist43,TRUE,FALSE,244.8036463,Div6,21.77272727,381.7657143,13.53846154,297.2414286,0.93184059,1.014792035,1.052497238,0.994612008,1.058019735,1,0.967368257,0.86836998,0.854558262,0.847381671,0.811183943,0.848889145
Dist44,TRUE,FALSE,598.4211416,Div6,71.37619048,300.1842105,77.5969697,1148.724242,0.239347156,0.455614355,0.85725344,1.07352064,1.052883383,1,0.906360173,0.790594669,0.806739297,0.622499949,0.629176148,0.434261652
Dist54,TRUE,TRUE,101.6689946,Div6,0,329.525,44,216.838,,,,,,,,,,,,
Dist56,TRUE,TRUE,39.90816459,Div6,0,47.62,0.254166667,98.07333333,,,1.129664785,1.174891484,1.081593788,1,0.700684856,,,,,
Dist57,TRUE,FALSE,74.3619174,Div6,8.992969231,200.1846154,16.22217556,140.2471111,0.777738127,0.764550182,0.908038092,1.092087397,1.114069897,1,0.925520792,0.819694981,0.735716311,0.827957621,0.822970082,0.803908271
Dist58,TRUE,FALSE,1249.582788,Div6,1459.843141,1149.077778,593.7042358,1604.39194,0.786162948,0.905125014,0.921557321,1.424191081,1.364343263,1,0.793818541,0.685232345,0.743061218,0.825068521,0.95968804,0.801470104
Div6,FALSE,FALSE,384.7911088,Div6,0,1149.077778,0.254166667,1604.39194,0.683772205,0.785020397,0.934836523,1.146102782,1.14732907,1,0.898266941,0.790972994,0.785018772,0.78072694,0.805754553,0.722132293
