Name,SubRegion,UseRegion,Region,MinRelease,MaxRelease,MinVolume,MaxVolume,BaseVolume,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Dist43,TRUE,FALSE,Div6,0.359210526,224.5515789,13.53846154,297.2414286,244.8036463,0.861180113,0.926570368,0.948477911,0.994170644,1.058019735,1,0.963862809,0.881548815,0.867522793,0.847381671,0.811183943,0.820145492
Dist44,TRUE,FALSE,Div6,0,250.5,77.5969697,1148.724242,598.4211416,0.61016339,0.717976727,0.919749211,1.022719649,1.052883383,1,0.906360173,0.792922092,0.785981667,0.604531132,0.615106138,0.605705173
Dist54,TRUE,TRUE,Div6,0,329.525,44,216.838,101.6689946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dist56,TRUE,TRUE,Div6,0,47.62,0.254166667,98.07333333,39.90816459,-1,-1,1.129664785,1.174891484,1.081593788,1,0.700684856,-1,-1,-1,-1,-1
Dist57,TRUE,FALSE,Div6,4.7625,166.3375,16.22217556,140.2471111,74.3619174,0.819615217,0.842373534,0.93579434,1.093161945,1.114069897,1,0.917610813,0.850098012,0.79922181,0.827957621,0.822970082,0.806789052
Dist58,TRUE,FALSE,Div6,8.645,1039.52,593.7042358,1604.39194,1249.582788,0.802783358,0.890256601,0.966329373,1.018161777,1.050980898,1,0.791311754,0.695114067,0.778315139,0.825068521,0.95968804,1.026770118
Div6,FALSE,FALSE,Div6,2.294451754,343.0090132,124.2193349,584.252676,384.7911088,0.77343552,0.844294308,0.980003124,1.0606211,1.07150954,1,0.855966081,0.804920746,0.807760352,0.776234736,0.80223705,0.814852459
