Name,Reach,Region,SubRegion,UseRegion,MinRelease,MaxRelease,MinVolume,MaxVolume,BaseVolume,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
res5703560,14050001002506,Div6,Dist57,False,36990.0,3341430.0,0.0,5178600.0,638788.846154,0.137984717908,0.0543162583519,1.99294729027,3.32267260579,2.07980697847,1.0,1.40798482224,1.30289532294,0.0,0.706655495457,0.520117567659,0.325164579533
res5703572,14050001002505,Div6,Dist57,False,135630.0,5573160.0,0.0,6818490.0,4129184.4525,0.0817001029403,1.19442472399e-05,1.31162765004,1.33568841731,1.40011660571,1.0,0.82085985996,0.455708864946,0.180656739504,0.578006481674,0.595845736518,0.250829192039
res5703574,14050001002447,Div6,Dist57,False,61650.0,2466000.0,0.0,4021799.4,1106335.67143,0.691595188683,0.831898215473,0.978548013606,1.11448996163,1.24208513111,1.0,1.30235563375,0.648049907922,0.396959034533,0.472026195821,0.498247934937,0.574693554687
res5703577,14050001002520,Div6,Dist57,True,-1.0,-1.0,-1.0,-1.0,9894717.49233,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
res5703583,14050001002560,Div6,Dist57,False,271260.0,11898450.0,0.0,15622110.0,12031907.9472,1.01243785969,0.933144859425,0.63547248446,0.973890123447,0.974859962745,1.0,0.937501336149,0.939999751048,0.881250588563,0.880861226567,0.903534813762,1.01198209095
res5703786,14050001002495,Div6,Dist57,False,-1.0,-1.0,4717458.0,12490290.0,9770767.58572,0.839213314416,0.979161070619,0.969665066422,0.942702724141,1.09659183437,1.0,1.02521090714,0.928106640082,0.952215764358,1.10998953134,1.12301793396,0.925861040153
res5803500,14050001002557,Div6,Dist58,False,357570.0,16842780.0,419220.0,27742500.0,16869289.5,1.08833095786,1.43186054161,1.15499031539,1.129149694,0.916511002669,1.0,0.764805826049,0.476940881239,0.545592021444,0.569333284606,0.527211197603,0.731410166597
res5803503,14050001009657,Div6,Dist58,False,86310.0,826110.0,0.0,863100.0,450407.647059,0.18610278563,0.367515640767,0.568901461998,0.759918609346,0.910225442834,1.0,0.500452898551,0.0,0.0205314009662,0.0410628019324,0.00456253354804,0.0550045365647
res5803506,14050001002551,Div6,Dist58,False,0.0,3045510.0,0.0,3181140.0,2834971.02257,0.667728577739,0.822388505166,0.944669870284,1.00358962309,1.01076588691,1.0,0.739259309747,0.357576598981,0.24805381727,0.306258294384,0.385205236005,0.511673138016
res5803508,14050001002504,Div6,Dist58,False,73980.0,34647300.0,0.0,53339580.0,40774722.8571,0.830808589888,0.798602723064,0.786692778082,0.694107651989,0.782366874982,1.0,1.04492636756,1.0941162918,0.928196008409,0.849974440573,0.812583189441,0.861731756032
res5803511,14050001002587,Div6,Dist58,False,86310.0,5301900.0,246600.0,14253480.0,9324452.9,0.687459134306,0.72943904983,0.7754726542,0.826127507406,0.881971169437,1.0,0.828795368601,0.839332005488,0.756106101767,0.588525207084,0.613390129838,0.648965347639
res5803512,14050001002406,Div6,Dist58,False,0.0,1245330.0,1795211.01,7521300.0,7410330.0,0.980298290728,0.989297836938,0.996837997277,1.0,0.9794786467,1.0,0.972046589018,0.978868552413,0.887705121094,0.974701255483,0.969596127666,0.972758130389
