Name,CalYear,Region,SubRegion,CropType,IrrigType,LandSize,DecreedRate,ParcelRatioToDiv,ElementIDs
par65800293,2010,Div6,Dist58,1,1,138380.5064,5800765=0.0283,5800765=1.0,5143; 5142; 5153; 5140; 5144; 5145; 5161; 5158
par65800447,2010,Div6,Dist58,1,1,133070.4201,5800533=0.0577929133092;5801405=0.0357370711846,5800533=0.613258983109;5801405=0.265851375746,34024; 34401; 34396; 34042; 34037
par65800315,2010,Div6,Dist58,1,1,131399.2584,5800875=0.0302536203692,5800875=0.712688347919,9476; 9483; 9482; 9480; 11612
par65800529,2010,Div6,Dist58,1,1,129172.192,5800894=0.0,5800894=0.506343753956,39833; 39839; 39846; 39837; 39838; 39848; 39809
par65801677,2010,Div6,Dist58,1,1,126378.196,5800659=0.00573682031298,5800659=0.162171598954,20321; 20583; 20331; 20324; 20355
par65801759,2010,Div6,Dist58,1,1,125935.511,5800894=0.0,5800894=0.493656246044,39826; 39818; 39820; 39824; 39831
par65801463,2010,Div6,Dist58,1,1,124627.6237,5801989=0.0,5801989=1.0,7844; 7853; 7703; 7850; 7842
par65801548,2010,Div6,Dist58,1,1,123592.4773,5800746=0.236649057823,5800746=0.614864523548,27115; 26974; 26972; 27066
par65800551,2010,Div6,Dist58,3,3,122772.8161,5801591=0.0,5801591=0.350027012731,53029; 53387; 53419; 53386
par65800404,2010,Div6,Dist58,1,1,121777.7996,5800582=0.1698,5800582=1.0,8628; 8671; 8639
par65801673,2010,Div6,Dist58,1,1,121028.3371,5800760=0.07075,5800760=1.0,18869; 18792; 18787; 18786; 18794
par65800500,2010,Div6,Dist58,1,1,120396.4502,5800575=0.07075,5800575=1.0,12075; 70079; 11992; 12095
par65801539,2010,Div6,Dist58,1,1,119293.7803,5802543=0.0,5802543=0.367418942871,71003; 29340; 29341; 29349
par65800260,2010,Div6,Dist58,1,1,118194.3428,5800934=0.0385089756097,5800934=0.177642452692,
par65801171,2010,Div6,Dist58,1,1,117566.9971,5800805=0.0578334442253,5800805=0.177703008835,9965; 9984; 9959; 9971; 9961
par65801669,2010,Div6,Dist58,1,1,114375.5036,5800671=0.0566,5800671=1.0,20359; 20352; 20361
par65803154,2010,Div6,Dist58,1,1,113441.0343,5800821=0.0402122128176,5800821=0.134049646035,
par65800299,2010,Div6,Dist58,1,1,112614.2031,5800730=0.0344744994055,5800730=0.102886840457,6904
par65800280,2010,Div6,Dist58,1,1,112323.3481,5800879=0.0544969270557,5800879=0.0914511311393,69993; 10094; 10155
par65801661,2010,Div6,Dist58,1,1,111785.2223,5800617=0.07075,5800617=1.0,20458; 20478; 40607; 20461
par65800535,2010,Div6,Dist58,1,1,111224.5528,5800830=0.091409,5800830=1.0,41563; 67566; 41650; 41661
par65801674,2010,Div6,Dist58,1,1,110260.2543,5800759=0.0849,5800759=1.0,18739; 18749; 18771; 18745; 18744
par65801563,2010,Div6,Dist58,1,1,110101.8673,5801095=0.15282,5801095=1.0,20198; 70409; 20192; 19385; 20223
par65801170,2010,Div6,Dist58,1,1,109818.9687,5800805=0.054022041541,5800805=0.165991831437,9866; 9956; 69985; 9884
par65801504,2010,Div6,Dist58,1,1,109164.4917,5800783=0.0417698918883,5800783=0.0623824138312,19788; 25340; 25865; 25344
par65800275,2010,Div6,Dist58,1,1,108894.1056,5800622=0.0433493733524,5800622=0.0899988235674,10114; 10148; 10128; 10138
par65800446,2010,Div6,Dist58,1,1,108356.0844,5801405=0.0290998487761,5801405=0.216476464766,34397; 34390; 34417
par65800501,2010,Div6,Dist58,1,1,108232.3611,5800872=0.0487970694773,5800872=0.28834081495,12079; 12117; 12074; 12124; 11986
par65801836,2010,Div6,Dist58,2,1,108227.8022,5800907=0.0175052052478,5800907=0.372625595976,25647; 25645; 25651; 25761; 25641
par65801440,2010,Div6,Dist58,1,1,105831.1893,5800612=0.0324900495722,5800612=0.135065681032,51391; 51393; 72467
par65800383,2010,Div6,Dist58,1,1,103102.2723,5800712=0.0283;5800851=0.0566,5800712=1.0;5800851=1.0,10675; 66002; 10674; 10813; 10767
par65800842,2010,Div6,Dist58,1,1,102900.3533,5800530=0.0655756083771,5800530=0.0467169215043,39920; 39923; 39514; 39922; 39516
par65800335,2010,Div6,Dist58,1,1,102704.0865,5800699=0.0283,5800699=1.0,11047; 11044; 11045; 11027
par65800512,2010,Div6,Dist58,1,1,101628.0396,5800924=0.13867,5800924=1.0,40625; 40628; 40604; 40624
par65801458,2010,Div6,Dist58,1,1,101576.2606,5800618=0.0701835187064,5800618=0.165332199544,59099; 73930
par65801040,2010,Div6,Dist58,1,1,101123.6458,5800932=0.10754,5800932=1.0,34163; 34143
par65801799,2010,Div6,Dist58,1,1,100793.5366,5804685=0.0166041007264,5804685=0.0190307278675,
par65801633,2010,Div6,Dist58,1,1,100544.1604,5800895=0.0725888111391,5800895=0.197305819894,56196; 74945
par65801509,2010,Div6,Dist58,1,1,100266.2207,5802123=0.0,5802123=1.0,25888; 25889; 25886
par65800507,2010,Div6,Dist58,1,1,99936.11349,5800905=0.0566,5800905=1.0,40251; 40247
par65800333,2010,Div6,Dist58,1,1,99931.47851,5801403=0.079205566268,5801403=0.699695815088,13193; 11574; 34183; 11547
par65801650,2010,Div6,Dist58,1,3,98686.70247,5803609=0.142677085959,5803609=1.0,24434; 24456; 62002
par65800292,2010,Div6,Dist58,1,1,96220.54092,5800838=0.018678,5800838=1.0,7111; 7107; 7099; 7292; 7074
par65800536,2010,Div6,Dist58,1,1,96157.9654,5800509=0.04528,5800509=1.0,41660; 41649; 41659; 41652; 41636
par65801468,2010,Div6,Dist58,1,1,96032.63765,5800829=0.0265763405366,5800829=0.250424881381,7887; 7895
par65800562,2010,Div6,Dist58,1,1,95682.75973,5800703=0.018678,5800703=1.0,42685; 67622; 42682; 42689
par65801606,2010,Div6,Dist58,1,1,95436.50641,5800881=0.07641,5800881=1.0,30359; 30361; 30383; 30356
par65800157,2010,Div6,Dist58,1,1,95318.82824,5801689=0.0,5801689=1.0,5162; 73795; 7467
par65801469,2010,Div6,Dist58,1,1,95118.0102,5801962=0.0,5801962=1.0,7899; 7890; 69863
par65801484,2010,Div6,Dist58,1,1,94904.9957,5800868=0.0352613720208,5800868=0.0527133255937,72481; 53125
