Name,CalYear,Region,SubRegion,CropType,IrrigType,LandSize,DecreedRate,ParcelRatioToDiv
par65800316,2010,Div6,Dist58,1,1,183142.1661,5800921=0.021225,5800921=1.0
par65801603,2010,Div6,Dist58,1,1,183016.3462,5800588=0.0600790190426,5800588=0.286882910145
par65800290,2010,Div6,Dist58,1,1,182523.945,5800685=0.0559624828377,5800685=0.282496127399
par65800493,2010,Div6,Dist58,1,1,181815.7899,5804685=0.0299512031325,5804685=0.0343284593072
par65800288,2010,Div6,Dist58,1,1,180392.2269,5800801=0.097273638102,5800801=0.374018610265
par65800435,2010,Div6,Dist58,1,1,178829.9703,5801190=0.049808,5801190=1.0
par65800503,2010,Div6,Dist58,1,1,176775.9638,5800914=0.0,5800914=1.0
par65800525,2010,Div6,Dist58,1,1,176536.8751,5801996=0.0,5801996=0.474837278589
par65800253,2010,Div6,Dist58,1,1,175939.5761,5800808=0.140450658381,5800808=0.299331772669
par65801487,2010,Div6,Dist58,1,1,174715.5004,5800868=0.0649144780205,5800868=0.0970426792702
par65801435,2010,Div6,Dist58,1,1,172728.9084,5800755=0.11886,5800755=1.0
par65801512,2010,Div6,Dist58,1,1,170877.8874,5800907=0.0276384850329,5800907=0.588328260736
par65800345,2010,Div6,Dist58,1,1,170837.3275,5800684=0.0760471120675,5800684=0.335897138107
par65801569,2010,Div6,Dist58,1,1,170680.3736,5800714=0.0511961107147;5802795=0.119449107762,5800714=0.0712504863558;5802795=0.70346942145
par65800540,2010,Div6,Dist58,1,1,170303.9161,5800627=0.0408523393041,5800627=0.0497774330499
par65801592,2010,Div6,Dist58,1,1,169899.4736,5800800=0.051789,5800800=1.0
par65800149,2010,Div6,Dist58,1,1,169853.397,5800502=0.0566,5800502=1.0
par65801671,2010,Div6,Dist58,1,1,169735.6448,5800590=0.142998421519,5800590=0.777376577978
par65803153,2010,Div6,Dist58,1,1,169447.2768,5800741=0.0849084137673,5800741=0.663782589882
par65800429,2010,Div6,Dist58,1,1,168635.89,5800710=0.0210862572835;5800564=0.0345925642824,5800710=0.225104963901;5800564=0.0537770389258
par65801541,2010,Div6,Dist58,1,1,168226.3273,5800537=0.0560438365789,5800537=0.849934584675
par65800516,2010,Div6,Dist58,1,1,168119.1109,5800897=0.0920535105909,5800897=0.0690610239029
par65801172,2010,Div6,Dist58,1,1,166105.6767,5800593=0.0579860825325,5800593=0.539204784569
par65801665,2010,Div6,Dist58,1,1,165257.4447,5800647=0.046978,5800647=1.0
par65801455,2010,Div6,Dist58,1,3,164781.2365,5802117=0.174189118511,5802117=0.564687387787
par65801545,2010,Div6,Dist58,1,1,164239.1529,5800686=0.065939,5800686=1.0
par65800506,2010,Div6,Dist58,1,1,162772.21,5800956=0.03396,5800956=1.0
par65800156,2010,Div6,Dist58,1,1,161860.7826,5800665=0.047464206342,5800665=0.335436087223
par65800556,2010,Div6,Dist58,1,3,161131.0368,5800631=0.0129227697022,5800631=0.171667282634
par65803143,2010,Div6,Dist58,1,1,158639.9967,5800747=0.0,5800747=1.0
par65801557,2010,Div6,Dist58,1,1,157460.0723,5800568=0.0741602421542,5800568=0.133020469865
par65801797,2010,Div6,Dist58,1,1,157097.1115,5800541=0.0368564176835,5800541=0.112757308624
par65801627,2010,Div6,Dist58,1,1,156694.5522,5800694=0.111143202147,5800694=0.151517038219
par65800236,2010,Div6,Dist58,1,1,156497.1429,5800662=0.0578543591894,5800662=0.113636667386
par65800309,2010,Div6,Dist58,1,1,156312.6697,5800725=0.0930663733208,5800725=0.657712885659
par65801811,2010,Div6,Dist58,1,1,155447.8408,5800626=0.053206403788,5800626=0.0885162400897
par65801605,2010,Div6,Dist58,1,1,154673.5748,5800623=0.0815965716005,5800623=0.197890945867
par65801047,2010,Div6,Dist58,1,1,154291.3269,5800791=0.0741770524315,5800791=0.391208546129
par65801618,2010,Div6,Dist58,1,1,152869.4991,5800717=0.0566607225451,5800717=0.339346724232
par65801611,2010,Div6,Dist58,1,1,151206.0568,5800847=0.126594272857,5800847=0.518943835343
par65801602,2010,Div6,Dist58,1,1,147866.5686,5800649=0.0454972683464,5800649=0.0675494675095
par65801598,2010,Div6,Dist58,1,1,147532.0058,5800649=0.0453943262572,5800649=0.0673966301292
par65801453,2010,Div6,Dist58,1,3,147129.7781,5803709=0.0,5803709=1.0
par65801655,2010,Div6,Dist58,1,1,145921.8475,5800857=0.0849,5800857=1.0
par65800263,2010,Div6,Dist58,1,1,145851.7071,5803547=1.28694510024,5803547=0.210462095166
par65800320,2010,Div6,Dist58,1,1,145309.2967,5800541=0.0340908886315,5800541=0.104296540258
par65801747,2010,Div6,Dist58,1,1,144926.8961,5800541=0.0340011739569,5800541=0.104022070142
par65801609,2010,Div6,Dist58,1,1,143212.6629,5800623=0.0755504766572,5800623=0.183227738533
par65801640,2010,Div6,Dist58,1,1,143069.4954,5801703=0.04811,5801703=1.0
par65801701,2010,Div6,Dist58,1,1,142556.1267,5400564=0.0,5400564=1.0
par65801798,2010,Div6,Dist58,1,1,142110.9053,5800541=0.0333405167868,5800541=0.102000877386
par65801433,2010,Div6,Dist58,1,1,141951.0792,5800593=0.0495539174675,5800593=0.460795215431
par65801543,2010,Div6,Dist58,1,1,141541.3364,5800640=0.15565,5800640=1.0
par65801672,2010,Div6,Dist58,1,1,140438.1838,5800619=0.073014,5800619=1.0
par65801612,2010,Div6,Dist58,1,1,140166.6246,5801595=0.0566;5800847=0.117351727143,5801595=1.0;5800847=0.481056164657
par65800328,2010,Div6,Dist58,1,1,140049.7109,5800798=0.0237315752281,5800798=0.0898790528221
par65801549,2010,Div6,Dist58,1,1,139303.5903,5800677=0.0222206961466,5800677=0.78518360942
par65800377,2010,Div6,Dist58,1,1,139296.8648,5800777=0.071308323271,5800777=0.310311420873
par65801631,2010,Div6,Dist58,1,1,139008.3608,5800754=0.0283,5800754=1.0
par65800256,2010,Div6,Dist58,1,1,138866.0505,5800574=0.0593579161919,5800574=0.363510029284
par65800293,2010,Div6,Dist58,1,1,138380.5064,5800765=0.0283,5800765=1.0
par65800537,2010,Div6,Dist58,1,1,138113.43,5800687=0.372428,5800687=1.0
par65800254,2010,Div6,Dist58,1,1,136118.1628,5800808=0.108661655363,5800808=0.231582295846
par65800447,2010,Div6,Dist58,1,1,133070.4201,5800533=0.0577929133092;5801405=0.0357370711846,5800533=0.613258983109;5801405=0.265851375746
par65800315,2010,Div6,Dist58,1,1,131399.2584,5800875=0.0302536203692,5800875=0.712688347919
par65800529,2010,Div6,Dist58,1,1,129172.192,5800894=0.0,5800894=0.506343753956
par65801528,2010,Div6,Dist58,1,1,128112.999,5800943=0.0357348542521;5801091=0.0174929239206,5800943=0.0853763149395;5801091=0.0853763149395
par65800495,2010,Div6,Dist58,1,99,127498.1689,5800598=0.0357706539121,5800598=0.7614341588
par65801456,2010,Div6,Dist58,1,3,127028.4268,5802117=0.134280881489,5802117=0.435312612213
par65800504,2010,Div6,Dist58,1,1,126950.6757,5800764=0.075278,5800764=1.0
par65800843,2010,Div6,Dist58,1,1,126596.1987,5800920=0.0399161735874,5800920=0.0186816622224
par65801677,2010,Div6,Dist58,1,1,126378.196,5800659=0.00573682031298,5800659=0.162171598954
par65801759,2010,Div6,Dist58,1,1,125935.511,5800894=0.0,5800894=0.493656246044
par65800310,2010,Div6,Dist58,1,1,124662.9963,5800828=0.0334915999181,5800828=0.591724380178
par65801463,2010,Div6,Dist58,1,1,124627.6237,5801989=0.0,5801989=1.0
par65800822,2010,Div6,Dist58,1,1,124394.3589,5800627=0.0298395989574,5800627=0.036358716897
par65801548,2010,Div6,Dist58,1,1,123592.4773,5800746=0.236649057823,5800746=0.614864523548
par65800551,2010,Div6,Dist58,3,3,122772.8161,5801591=0.0,5801591=0.350027012731
