Name,Region,SubRegion,UseRegion,MinRelease,MaxRelease,MinVolume,MaxVolume,BaseVolume,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Div6,Div6,FALSE,FALSE,0.1,6447,300,37316,1400,0.859221797,0.880515301,1.006751664,1.034384787,1.070028757,1,0.882446644,0.757534535,0.774098123,0.785756509,0.80007383,0.840640424
District54,Div6,TRUE,TRUE,0.1,2300,300,9836,2500,-999,-999,-999,0.983045736,1.151316312,1,0.848203538,0.595827403,0.559762199,0.598582878,0.783618856,-999
District58,Div6,TRUE,FALSE,0.1,6447,300,37316,1400,0.851676527,0.905125014,0.915020431,1.013805851,1.042457873,1,0.861692532,0.698167315,0.757012499,0.80734999,0.819628821,0.881617115
