,dec_af,dec_cfs,div,lat,long,source,status,strname,strtype,wd,wdid
1338,,0.0,6,40.210007,-106.907409,Whipple Creek,A,WHITELEY NELSON LAT B DITCH,1,58,5802883
1339,,0.0,6,40.210007,-106.907409,Whipple Creek,A,WHITELEY NELSON LAT B DITCH,1,58,5802883
1340,,0.0,6,40.212587,-106.909925,Whipple Creek,A,WHITELEY NELSON LAT C DITCH,1,58,5802884
1341,,0.0,6,40.212587,-106.909925,Whipple Creek,A,WHITELEY NELSON LAT C DITCH,1,58,5802884
1342,,0.0,6,40.522256,-106.83967,Fawn Creek,N,FAWN CREEK HEADGATE NO. 1,1,58,5802888
1343,,0.0,6,40.512891,-106.833229,Fawn Creek,N,FAWN CREEK HEADGATE NO. 2,1,58,5802889
1344,,0.0,6,40.515613,-106.830258,Soda Creek,N,REDEMPTION DITCH HEADGATE NO. 1,1,58,5802890
1345,,,6,40.588758,-106.9001,Big Creek,A,SANDELIN D 2,1,58,5802891
1346,,0.0,6,40.591381,-107.080803,Chimney Creek,A,RLW TURNER MEADOW DITCH,1,58,5802908
1347,,0.0,6,40.525549,-106.948143,Trull Creek,A,STRAWBERRY PARK FARM POD NO. 1,1,58,5802911
1348,,0.0,6,40.526057,-106.949043,Trull Creek,A,STRAWBERRY PARK FARM POD NO. 2,1,58,5802912
1349,,1.728,6,40.432243,-106.80958,Walton Creek,A,LOT 3 PRIEST CREEK RANCH WATER FEATURE D,1,58,5802915
1350,,,6,40.358606,-106.835707,Grouse Creek,N,MURPHY DITCH,1,58,5802937
1351,,2.0,6,40.237595,-106.93644,Yampa River,A,SKCK DIVERSION,1,58,5802955
1352,,3.0,6,40.137852,-106.896175,Phillips Creek,A,SJRH DITCH #2,1,58,5802956
1353,,2.0,6,40.135414,-106.894264,Phillips Creek,A,SJRH DITCH #1 ENLARGEMENT,1,58,5802960
1354,,0.0,6,40.512236,-106.839289,Soda Creek,A,DEERFOOT DITCH,1,58,5802985
1355,,0.0,6,40.439835,-106.822282,Yampa River,N,SKI LAKE SUPPLY DITCH,1,58,5802986
1356,,2.0,6,40.599426,-106.935791,Elk River,A,MCKELLAR WASTEWATER DITCH,1,58,5802994
